requests,sampleNo,T,A,S,R,E
1,1,0.081,0.029,0.026,0.065,0.047
1,2,0.036,0.013,0.02,0.031,0.044
1,3,0.024,0.009,0.023,0.028,0.028
1,4,0.025,0.015,0.02,0.027,0.024
1,5,0.024,0.008,0.023,0.031,0.027
1,6,0.032,0.017,0.038,0.02,0.018
1,7,0.024,0.013,0.018,0.04,0.038
1,8,0.045,0.008,0.016,0.018,0.02
1,9,0.033,0.011,0.013,0.023,0.014
1,10,0.019,0.014,0.013,0.019,0.016
2,1,0.032,0.014,0.04,0.04,0.042
2,2,0.036,0.017,0.044,0.047,0.037
2,3,0.038,0.018,0.038,0.047,0.045
2,4,0.028,0.021,0.036,0.04,0.03
2,5,0.03,0.017,0.033,0.039,0.031
2,6,0.035,0.023,0.031,0.039,0.044
2,7,0.036,0.013,0.025,0.036,0.046
2,8,0.025,0.015,0.034,0.038,0.03
2,9,0.064,0.013,0.025,0.022,0.033
2,10,0.03,0.037,0.037,0.041,0.029
4,1,0.059,0.038,0.069,0.04,0.133
4,2,0.068,0.028,0.062,0.069,0.055
4,3,0.054,0.024,0.043,0.072,0.067
4,4,0.055,0.024,0.045,0.046,0.057
4,5,0.051,0.03,0.04,0.056,0.048
4,6,0.046,0.021,0.036,0.043,0.058
4,7,0.047,0.029,0.036,0.053,0.059
4,8,0.06,0.022,0.063,0.046,0.048
4,9,0.056,0.02,0.048,0.049,0.046
4,10,0.048,0.019,0.044,0.035,0.057
8,1,0.086,0.044,0.081,0.081,0.102
8,2,0.108,0.037,0.072,0.111,0.097
8,3,0.092,0.05,0.1,0.1,0.143
8,4,0.109,0.058,0.076,0.054,0.084
8,5,0.079,0.046,0.077,0.081,0.107
8,6,0.112,0.041,0.102,0.055,0.103
8,7,0.086,0.039,0.065,0.056,0.103
8,8,0.12,0.044,0.064,0.089,0.1
8,9,0.07,0.034,0.071,0.091,0.107
8,10,0.09,0.048,0.065,0.086,0.104
16,1,0.165,0.072,0.128,0.143,0.184
16,2,0.136,0.083,0.115,0.129,0.187
16,3,0.161,0.062,0.108,0.13,0.14
16,4,0.155,0.08,0.102,0.107,0.165
16,5,0.141,0.088,0.112,0.101,0.202
16,6,0.134,0.061,0.124,0.096,0.186
16,7,0.16,0.071,0.113,0.082,0.177
16,8,0.15,0.074,0.1,0.085,0.145
16,9,0.115,0.099,0.127,0.13,0.164
16,10,0.2,0.064,0.102,0.092,0.145
32,1,0.25,0.111,0.226,0.176,0.299
32,2,0.313,0.12,0.22,0.174,0.26
32,3,0.255,0.144,0.195,0.179,0.278
32,4,0.252,0.09,0.2,0.139,0.265
32,5,0.273,0.094,0.206,0.265,0.314
32,6,0.235,0.112,0.211,0.204,0.268
32,7,0.258,0.123,0.219,0.181,0.279
32,8,0.24,0.107,0.219,0.164,0.29
32,9,0.239,0.106,0.223,0.157,0.31
32,10,0.239,0.12,0.219,0.163,0.3
64,1,0.486,0.235,0.504,0.351,0.551
64,2,0.478,0.244,0.393,0.347,0.483
64,3,0.476,0.191,0.355,0.292,0.54
64,4,0.4,0.173,0.389,0.336,0.475
64,5,0.414,0.179,0.363,0.289,0.441
64,6,0.405,0.185,0.326,0.251,0.469
64,7,0.398,0.165,0.374,0.314,0.479
64,8,0.679,0.202,0.399,0.267,0.495
64,9,0.421,0.171,0.327,0.252,0.512
64,10,0.428,0.151,0.34,0.302,0.488
128,1,0.834,0.402,0.734,0.547,0.897
128,2,0.781,0.373,0.626,0.529,0.961
128,3,0.737,0.381,0.638,0.655,0.916
128,4,0.684,0.565,0.618,0.498,0.972
128,5,0.801,0.361,0.617,0.622,0.889
128,6,0.749,0.326,0.604,0.468,0.838
128,7,0.721,0.309,0.612,0.589,0.898
128,8,0.692,0.332,0.591,0.453,0.83
128,9,0.656,0.489,0.582,0.505,0.827
128,10,0.883,0.321,0.69,0.477,0.875
256,1,1.353,0.634,1.276,0.981,1.934
256,2,1.319,0.652,1.197,0.99,1.757
256,3,1.406,0.787,1.164,0.951,1.835
256,4,1.3,0.654,1.256,1.01,1.723
256,5,1.312,0.624,1.223,0.95,2.019
256,6,1.403,0.641,1.193,0.873,1.685
256,7,1.417,0.67,1.224,0.906,1.941
256,8,1.487,0.831,1.181,0.939,1.691
256,9,1.29,0.642,1.309,0.961,1.69
256,10,1.316,0.617,1.315,0.915,2.238
512,1,2.896,1.239,2.656,2.016,3.717
512,2,2.856,1.244,2.498,2.135,3.631
512,3,2.932,1.365,2.843,1.903,3.778
512,4,2.651,1.289,2.519,2.294,4.224
512,5,3.243,1.261,2.526,1.914,4.174
512,6,2.785,1.29,2.503,1.93,4.026
512,7,2.714,1.227,2.496,2.034,3.757
512,8,3.008,1.256,2.473,2.295,3.531
512,9,2.794,1.224,2.827,2.028,3.688
512,10,2.621,1.221,2.501,2.412,4.62
1024,1,5.907,2.504,6.764,4.618,8.378
1024,2,5.876,2.577,6.635,4.807,7.637
1024,3,5.86,2.511,5.587,5.332,7.749
1024,4,6.357,2.617,5.734,4.427,10.733
1024,5,6.752,2.68,5.843,4.329,8.825
1024,6,5.828,2.567,6.418,4.238,9.004
1024,7,5.908,2.472,6.263,4.378,8.299
1024,8,5.839,2.484,5.553,5.163,8.246
1024,9,6.245,2.395,5.552,4.25,8.58
1024,10,5.696,2.467,6.159,4.57,8.256
2048,1,12.222,6.203,14.807,11.16,22.307
2048,2,14.552,4.846,15.399,11.618,21.178
2048,3,14.641,4.894,15.283,12.919,20.403
2048,4,14.179,5.154,15.7,12.576,21.566
2048,5,13.075,5.207,16.05,13.086,21.595
2048,6,12.628,6.988,15.525,11.402,22.516
2048,7,14.105,4.964,15.719,13.041,20.551
2048,8,13.555,5.105,15.8,13.185,20.803
2048,9,13.09,5.215,15.798,13.472,20.989
2048,10,12.746,6.887,15.331,11.266,21.811
